id;prefix;size;group_code;designation_sv;designation_en;description_sv;description_en;material_sv;material_en;price_sek_1;price_sek_2;price_sek_3;price_sek_4;price_sek_5;price_eur_1;price_eur_2;price_eur_3;price_eur_4;price_eur_5;sheets_per_unit;pricing_tier_id;active;images
1;VM;150-210;M;Varselmärkning 150x210 mm, vinyletikett, påbud, enl.spec.;Safety marking 150x210 mm, vinyl label, mandatory, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
2;VM;150-210;W;Varselmärkning 150x210 mm, vinyletikett, varning, enl.spec.;Safety marking 150x210 mm, vinyl label, warning, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
3;VM;150-210;P;Varselmärkning 150x210 mm, vinyletikett, förbud, enl.spec.;Safety marking 150x210 mm, vinyl label, prohibition, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
4;VM;150-210;E;Varselmärkning 150x210 mm, vinyletikett, nöd, enl.spec.;Safety marking 150x210 mm, vinyl label, emergency, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
5;VM;150-210;F;Varselmärkning 150x210 mm, vinyletikett, brand, enl.spec.;Safety marking 150x210 mm, vinyl label, fire hazard, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
6;VM;150-210;D;Varselmärkning 150x210 mm, vinyletikett, fara, enl.spec.;Safety marking 150x210 mm, vinyl label, danger, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
7;VMS;150-210;M;Varselmärkning 150x210 mm, styrenskylt, påbud, enl.spec.;Safety marking 150x210 mm, styrene sign, mandatory, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
8;VMS;150-210;W;Varselmärkning 150x210 mm, styrenskylt, varning, enl.spec.;Safety marking 150x210 mm, styrene sign, warning, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
9;VMS;150-210;P;Varselmärkning 150x210 mm, styrenskylt, förbud, enl.spec.;Safety marking 150x210 mm, styrene sign, prohibition, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
10;VMS;150-210;E;Varselmärkning 150x210 mm, styrenskylt, nöd, enl.spec.;Safety marking 150x210 mm, styrene sign, emergency, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
11;VMS;150-210;F;Varselmärkning 150x210 mm, styrenskylt, brand, enl.spec.;Safety marking 150x210 mm, styrene sign, fire hazard, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
12;VMS;150-210;D;Varselmärkning 150x210 mm, styrenskylt, fara, enl.spec.;Safety marking 150x210 mm, styrene sign, danger, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
13;VMA;150-210;M;Varselmärkning 150x210 mm, aluminiumskylt, påbud, enl.spec.;Safety marking 150x210 mm, aluminum sign, mandatory, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
14;VMA;150-210;W;Varselmärkning 150x210 mm, aluminiumskylt, varning, enl.spec.;Safety marking 150x210 mm, aluminum sign, warning, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
15;VMA;150-210;P;Varselmärkning 150x210 mm, aluminiumskylt, förbud, enl.spec.;Safety marking 150x210 mm, aluminum sign, prohibition, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
16;VMA;150-210;E;Varselmärkning 150x210 mm, aluminiumskylt, nöd, enl.spec.;Safety marking 150x210 mm, aluminum sign, emergency, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
17;VMA;150-210;F;Varselmärkning 150x210 mm, aluminiumskylt, brand, enl.spec.;Safety marking 150x210 mm, aluminum sign, fire hazard, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
18;VMA;150-210;D;Varselmärkning 150x210 mm, aluminiumskylt, fara, enl.spec.;Safety marking 150x210 mm, aluminum sign, danger, acc.spec.;VMA-Varselmärkning är ett tryckt aluminiumskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMA-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Aluminiumskylt;Aluminum sign;394.00;266.00;224.00;202.00;190.00;41.91;28.30;23.83;21.49;20.21;;1;1;VM_(M).jpg
19;VMF;150-210;M;Varselmärkning 150x210 mm, golvetikett, påbud, enl.spec.;Safety marking 150x210 mm, floor label, mandatory, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
20;VMF;150-210;W;Varselmärkning 150x210 mm, golvetikett, varning, enl.spec.;Safety marking 150x210 mm, floor label, warning, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
21;VMF;150-210;P;Varselmärkning 150x210 mm, golvetikett, förbud, enl.spec.;Safety marking 150x210 mm, floor label, prohibition, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
22;VMF;150-210;E;Varselmärkning 150x210 mm, golvetikett, nöd, enl.spec.;Safety marking 150x210 mm, floor label, emergency, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
23;VMF;150-210;F;Varselmärkning 150x210 mm, golvetikett, brand, enl.spec.;Safety marking 150x210 mm, floor label, fire hazard, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
24;VMF;150-210;D;Varselmärkning 150x210 mm, golvetikett, fara, enl.spec.;Safety marking 150x210 mm, floor label, danger, acc.spec.;VMF-Varselmärkning är ett tryckt laminerad golvetikett som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMF-Information marking is a very high quality sign made of aluminum. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Golvetikett;Floor label;1373.00;701.00;478.00;366.00;299.00;146.06;74.57;50.85;38.94;31.81;;1;1;VM_(M).jpg
25;VM;210-300;M;Varselmärkning 210x300 mm, vinyletikett, påbud, enl.spec.;Safety marking 210x300 mm, vinyl label, mandatory, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;199.00;135.00;114.00;103.00;97.00;21.17;14.36;12.13;10.96;10.32;;1;1;VM_(M).jpg
26;VM;210-300;W;Varselmärkning 210x300 mm, vinyletikett, varning, enl.spec.;Safety marking 210x300 mm, vinyl label, warning, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;199.00;135.00;114.00;103.00;97.00;21.17;14.36;12.13;10.96;10.32;;1;1;VM_(M).jpg
27;VM;210-300;P;Varselmärkning 210x300 mm, vinyletikett, förbud, enl.spec.;Safety marking 210x300 mm, vinyl label, prohibition, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;199.00;135.00;114.00;103.00;97.00;21.17;14.36;12.13;10.96;10.32;;1;1;VM_(M).jpg
28;VM;210-300;E;Varselmärkning 210x300 mm, vinyletikett, nöd, enl.spec.;Safety marking 210x300 mm, vinyl label, emergency, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;199.00;135.00;114.00;103.00;97.00;21.17;14.36;12.13;10.96;10.32;;1;1;VM_(M).jpg
29;VM;210-300;F;Varselmärkning 210x300 mm, vinyletikett, brand, enl.spec.;Safety marking 210x300 mm, vinyl label, fire hazard, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;199.00;135.00;114.00;103.00;97.00;21.17;14.36;12.13;10.96;10.32;;1;1;VM_(M).jpg
